168	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', 'C']

169	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '6950']

170	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '452']

171	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '159']

172	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '3566']

173	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '22237']

174	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

175	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

176	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', 'C']

177	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', 'C']

178	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '8566']

179	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '12816']

180	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '23']

181	['2007.03', 'Insurance corporations', '251', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '553']

182	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '1016']

